transaction_id,transaction_date,transaction_time,store_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity_sold,unit_price,promo_item_yn
1338,2017-01-01,7:06:11,5,30,5465,Y,1,1,32,2,3.0,N
399,2017-01-01,7:08:56,5,30,5895,Y,1,1,57,2,3.1,N
451,2017-01-01,7:14:04,5,26,5412,N,1,1,59,2,4.5,N
1170,2017-01-01,7:20:24,5,12,5676,Y,1,1,22,1,2.0,N
248,2017-01-01,7:22:41,5,30,5479,N,1,1,57,2,3.1,N
248,2017-01-01,7:22:41,5,30,5479,N,1,5,77,1,3.0,N
335,2017-01-01,7:25:49,5,12,5543,Y,1,1,22,1,2.0,N
2147,2017-01-01,7:33:34,5,26,5195,N,1,1,28,2,2.0,N
1911,2017-01-01,7:39:13,5,12,5231,Y,1,1,39,1,4.25,N
2399,2017-01-01,7:39:34,5,30,5489,Y,1,1,58,2,3.5,N
534,2017-01-01,7:43:05,5,26,5373,N,1,1,56,1,2.55,N
1295,2017-01-01,7:44:35,5,12,5162,N,1,1,33,2,3.5,N
2475,2017-01-01,7:45:51,5,30,5394,N,1,1,51,1,3.0,N
1483,2017-01-01,7:48:19,5,12,5491,N,1,1,57,1,3.1,N
443,2017-01-01,7:52:36,5,26,5180,Y,1,1,87,2,3.0,N
1074,2017-01-01,7:59:58,5,26,5477,Y,1,1,47,2,3.0,N
1074,2017-01-01,7:59:58,5,26,5477,Y,1,5,79,1,3.75,N
1291,2017-01-01,8:00:18,8,45,8480,Y,1,1,42,1,2.5,N
1509,2017-01-01,8:00:39,8,45,8392,N,1,1,59,2,4.5,N
41,2017-01-01,8:11:45,8,45,8293,Y,1,1,61,1,4.75,N
2806,2017-01-01,8:17:27,8,42,8483,N,1,1,33,2,3.5,N
1787,2017-01-01,8:24:26,5,26,5290,N,1,1,56,2,2.55,N
1787,2017-01-01,8:24:26,5,26,5290,N,1,5,69,1,3.25,N
2257,2017-01-01,8:29:38,8,42,8023,N,1,1,56,1,2.55,N
737,2017-01-01,8:31:23,8,42,8003,N,1,1,40,1,3.75,N
2287,2017-01-01,8:33:08,5,26,5691,Y,1,1,43,1,3.0,N
2287,2017-01-01,8:33:08,5,26,5691,Y,1,5,76,1,3.5,N
170,2017-01-01,8:35:03,5,12,5401,Y,1,1,45,2,3.0,N
170,2017-01-01,8:35:03,5,12,5401,Y,1,5,71,1,3.75,N
699,2017-01-01,8:41:57,8,45,8278,N,1,1,40,2,3.75,N
2386,2017-01-01,8:52:03,8,45,8400,Y,1,1,38,1,3.75,N
14,2017-01-01,8:52:32,5,26,5924,Y,1,1,26,1,3.0,N
1496,2017-01-01,8:54:33,5,12,5721,Y,1,1,27,2,3.5,N
