transaction_id,transaction_date,transaction_time,store_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity_sold,unit_price,promo_item_yn
2254,2017-02-01,7:07:09,5,30,5340,N,1,1,59,2,4.5,N
1269,2017-02-01,7:09:09,5,30,5583,N,1,1,49,1,3.0,N
981,2017-02-01,7:15:02,5,26,5376,N,1,1,34,1,2.45,N
991,2017-02-01,7:18:04,5,26,5224,N,1,1,44,1,2.5,N
2264,2017-02-01,7:22:41,5,12,5162,Y,1,1,40,1,3.75,N
1994,2017-02-01,7:24:20,5,30,5514,N,1,1,53,1,3.0,N
897,2017-02-01,7:25:39,5,30,5164,Y,1,1,47,2,3.0,N
2488,2017-02-01,7:27:26,5,26,5635,Y,1,1,53,2,3.0,N
1735,2017-02-01,7:32:03,5,12,5630,Y,1,1,61,2,4.75,N
1023,2017-02-01,7:41:18,5,30,5227,Y,1,1,34,2,2.45,N
2475,2017-02-01,7:45:51,5,30,5394,N,1,1,51,1,3.0,N
330,2017-02-01,7:46:28,5,26,5291,Y,1,1,24,2,3.0,N
330,2017-02-01,7:46:28,5,26,5291,Y,1,5,72,1,3.25,N
865,2017-02-01,7:49:41,5,30,5593,N,1,1,50,2,2.5,N
1446,2017-02-01,7:51:55,5,30,5647,N,1,1,25,2,2.2,N
76,2017-02-01,7:52:17,5,12,5020,N,1,1,34,2,2.45,N
443,2017-02-01,7:52:36,5,26,5180,Y,1,1,87,2,3.0,N
1571,2017-02-01,7:53:55,5,26,5184,Y,1,1,25,1,2.2,N
378,2017-02-01,8:00:35,5,26,5136,N,1,1,36,1,3.75,N
378,2017-02-01,8:00:35,5,26,5136,N,1,5,77,1,3.0,N
1724,2017-02-01,8:13:31,5,12,5388,Y,1,1,54,2,2.5,N
1988,2017-02-01,8:18:52,5,30,5735,N,1,1,51,1,3.0,N
1787,2017-02-01,8:24:26,5,26,5290,N,1,1,56,2,2.55,N
1787,2017-02-01,8:24:26,5,26,5290,N,1,5,69,1,3.25,N
474,2017-02-01,8:26:08,8,45,8057,Y,1,1,44,1,2.5,N
